method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms
alpha_0,5,0.0,False,30,0,0,100,0.7,0.13999999999999996,0.7,0.6111910977074075,0.5811666666666666,0.5811666666666666,236.79,21.96238873999874
alpha_0.1,5,0.1,False,30,0,0,100,0.74,0.14799999999999996,0.74,0.6404978632881415,0.607,0.607,226.74,19.97093825000036
alpha_0.2,5,0.2,False,30,0,0,100,0.74,0.14799999999999996,0.74,0.6475775665459396,0.6161666666666666,0.6161666666666666,212.36,20.2266395999996
alpha_0.3,5,0.3,False,30,0,0,100,0.79,0.15799999999999997,0.79,0.6784899163437096,0.6413333333333333,0.6413333333333333,203.65,20.25578957000107
alpha_0.4,5,0.4,False,30,0,0,100,0.78,0.15599999999999997,0.78,0.6741240542245124,0.6378333333333334,0.6378333333333334,197.46,21.738627479999476
alpha_0.5,5,0.5,False,30,0,0,100,0.79,0.15799999999999995,0.79,0.6786086454133065,0.6406666666666666,0.6406666666666666,194.36,20.283325859999763
alpha_0.6,5,0.6,False,30,0,0,100,0.82,0.16399999999999995,0.82,0.7013457015579972,0.6613333333333332,0.6613333333333332,193.63,20.22016033000142
alpha_0.7,5,0.7,False,30,0,0,100,0.83,0.16599999999999995,0.83,0.7030932366021004,0.6601666666666667,0.6601666666666667,191.72,20.538109139999104
alpha_0.8,5,0.8,False,30,0,0,100,0.82,0.16399999999999995,0.82,0.6728560464592421,0.6235,0.6235,186.3,20.748293789999078
alpha_0.9,5,0.9,False,30,0,0,100,0.79,0.15799999999999995,0.79,0.6140577061492166,0.5556666666666668,0.5556666666666668,187.5,20.81336462000053
alpha_1,5,1.0,False,30,0,0,100,0.69,0.13799999999999998,0.69,0.5390053184035357,0.49000000000000005,0.49000000000000005,185.27,20.414169140001093
